n,lambda_n,lambda_n_over_n
331,589.713687980024853374313726048,1.78161235039282433043599313006
332,591.85002433341192658790571398,1.78268079618497568249369190958
333,593.983602639408160205770486149,1.783734542460685165783094553
334,596.115116630944622792135387203,1.78477579829624138560519577007
335,598.245268596896325990578111266,1.7858067719310338089270988396
336,600.374765845247480653472217833,1.78682966025371274004009588641
337,602.504317162226850757398389327,1.78784663846358115951750263895
338,604.634629285073554848391983267,1.78885984995583891966979876706
339,606.766403405976913098656897978,1.78987139647780800324087580524
340,608.900331724529739340779256405,1.79088332860155805688464487178
341,611.037094065743966816209784339,1.79189763655643392028214013003
342,613.177354580302239425153103853,1.79291624146287204510278685337
343,615.321758543261084947670632736,1.79394098700659208439554120331
344,617.470929266882913130556885229,1.79497363158977591026324675939
345,619.625465142658149709679535017,1.79601584099321202814399865222
346,621.785936826888513016689352553,1.79706918158060263877655882241
347,623.952884583441317925707747644,1.79813511407331791909425863874
348,626.126815796456659105977522818,1.79921498792085246869533770925
349,628.308202664898620122050137066,1.80031003628910779404598893142
350,630.49748008989282539214066635,1.80142137168540807254897333243
351,632.69504376479053421062149789,1.80254998223587046783652848402
352,634.901248476849168709185272537,1.8036967286274124111056399788
353,637.116406628326006737804123768,1.80486234172330313523457258858
354,639.340786983651302500813129938,1.80604742085777204096274895463
355,641.574613648185051124353006692,1.80725243281178887640662818786
356,643.818065282873870510341717497,1.80847771146874682727624077949
357,646.071274557917041237703539103,1.80972345814542588581989786864
358,648.334327847329723145300478705,1.81098974259030648923268290141
359,650.607265165062919024876224747,1.81227650463805827026427917757
360,652.89008034211007728168724579,1.81358355650586132578246457164
361,655.182721442805513367362742611,1.81491058571414269630848405155
362,657.485091417306251211984799298,1.81625715861134323539222320248
363,659.797048986052546885795978008,1.8176227244794836002363525565
364,662.118409750829271945880972583,1.81900662019458591193923344116
365,664.448947525906396403099973209,1.82040807541344218192630129646
366,666.788395881627762884305294807,1.82182621825581355979318386559
367,669.136449891748746387523873344,1.82326008144890666590605960039
368,671.492768074800602333803551262,1.82470860889891468025490095452
369,673.856974518787439197330331095,1.82617066265254048562962149348
370,676.228661177605670517971795511,1.8276450302097450554539778257
371,678.607390326720079834189673011,1.82913043214749347664202068197
372,680.992697164839539024287178463,1.8306255300130095135061483292
373,683.384092547612895147242731283,1.8321289344440023998585596013
374,685.781065838715174349162953396,1.83363921347250046617423249571
375,688.183087863119268849924203449,1.83515490096831805026646454253
376,690.589613946851517378955106736,1.83667450517779658877381677323
377,693.000087027113507320134075138,1.83819651731329842790486492079
378,695.413940816319056445297944039,1.8397194201489922128182485292
379,697.830603003346293133133777505,1.84124169657875011380774083774
380,700.249498475141239552318309989,1.84276183809247694619031134208
381,702.670052541732073263670728075,1.84427835312790570410412264587
382,705.091694147722623893397701126,1.8457897752558183871554913642
383,707.513859053429540301663471165,1.84729467115777947859442159573
384,709.935992969009390621711362402,1.84879164835679528807737333959
385,712.357554625188749447426148849,1.85027936266282792064266532169
386,714.778018764560671339993809852,1.85175652529678930398962126905
387,717.196879037843014260595758701,1.85322190965850908077673322662
388,719.613650790005614949521172138,1.85467435770620003852969374262
389,722.027873721761684410458008816,1.8561127859171251527261131332
390,724.439114412580952028719050637,1.8575361908014896205864591042
391,726.846968692114636107412731839,1.85894365394402720232074867478
392,729.251063847721496800450293086,1.86033434655030994081747523747
393,731.651060656645939043626438007,1.86170753347747058280820976592
394,734.046655232318967772095242955,1.86306257673177402987841432222
395,736.437580675226052546179284659,1.86439893841829380391437793585
396,738.823608519807661976045722313,1.86571618313082742923243869271
397,741.204549969923164644270253215,1.86701397977310620817196537334
398,743.580256916511529826409710762,1.86829210280530535132263746423
399,745.950622732217175524580930687,1.86955043291282500131473917466
400,748.315582838910618919526602267,1.87078895709727654729881650567
401,750.675115045215368696580373257,1.87200776819255702916852960912
402,753.029239652348740660143257254,1.8732070638118127877117991474
403,755.378019327788886292305592615,1.87438714473396745978239601145
404,757.721558747487165646543474009,1.8755484127413048654617412723
405,760.060004008547927872709357819,1.87669136792234056264866508103
406,762.393541815490661858198249866,1.87781660545687355137487253662
407,764.722398444386274363139792219,1.87892481190266897877921324869
408,767.046838490313953963744045381,1.88001676100567145579349030731
409,769.367163404711808552042864389,1.88109330905797508203433463176
410,771.68370983028748627513167501,1.88215538982996947871983335368
411,773.99684774220873950344814768,1.88320400910513075304975218414
412,776.30697840530300229539006297,1.88424023884782282110531568682
413,778.614532157954383265088635635,1.88526521103620916044815650275
414,780.919966034291138869009532978,1.88628011119393994895896022458
415,783.22376123710207439123576616,1.88728617165566764913550787026
416,785.526420474702108463252347844,1.88828466460264929919051045155
417,787.828465175681440354846567531,1.88927689490571088814111886698
418,790.13043259611572763883650732,1.89026419281367398956659451512
419,792.432872834383125286028984269,1.891247906525974046028708793
420,794.736345769225042537487299708,1.89222939468863105366068404692
421,797.041417937098519138080449964,1.89321001885296560365339774338
